Image1,Image2,Similarity
subject01_centerlight.gif,subject07_sad.gif,0.2337053831169552
subject01_centerlight.gif,subject07_sleepy.gif,0.2444034742839701
subject01_centerlight.gif,subject07_surprised.gif,0.2407588935996232
subject01_centerlight.gif,subject07_wink.gif,0.22707858423855565
subject01_centerlight.gif,subject08_centerlight.gif,0.24417778827711256
subject01_centerlight.gif,subject08_glasses.gif,0.23613596400980125
subject01_centerlight.gif,subject08_happy.gif,0.23270997855811265
subject01_centerlight.gif,subject08_leftlight.gif,0.24363624063954378
subject01_centerlight.gif,subject08_noglasses.gif,0.22865903780722777
subject01_centerlight.gif,subject08_normal.gif,0.23613596400980125
subject01_centerlight.gif,subject08_rightlight.gif,0.2305473790878457
subject01_centerlight.gif,subject08_sad.gif,0.22332169939292615
subject01_centerlight.gif,subject08_sleepy.gif,0.22084234277106798
subject01_centerlight.gif,subject08_surprised.gif,0.22248127543263158
subject01_centerlight.gif,subject08_wink.gif,0.23162614785082944
subject01_centerlight.gif,subject09_centerlight.gif,0.2546357787338892
subject01_centerlight.gif,subject09_glasses.gif,0.23647601914898675
subject01_centerlight.gif,subject09_happy.gif,0.2409535952652224
subject01_centerlight.gif,subject09_leftlight.gif,0.2464241559076701
subject01_centerlight.gif,subject09_noglasses.gif,0.21896446588279522
subject01_centerlight.gif,subject09_normal.gif,0.21896446588279522
subject01_centerlight.gif,subject09_rightlight.gif,0.2434763779776024
subject01_centerlight.gif,subject09_sad.gif,0.23344992760135228
subject01_centerlight.gif,subject09_sleepy.gif,0.22452153116634727
subject01_centerlight.gif,subject09_surprised.gif,0.23611312716302962
subject01_centerlight.gif,subject09_wink.gif,0.24265695621371317
subject01_centerlight.gif,subject10_centerlight.gif,0.24317456790967967
subject01_centerlight.gif,subject10_glasses.gif,0.23277961109388504
subject01_centerlight.gif,subject10_happy.gif,0.23256338548890904
subject01_centerlight.gif,subject10_leftlight.gif,0.22236037759641908
subject01_centerlight.gif,subject10_noglasses.gif,0.23371036539734835
subject01_centerlight.gif,subject10_normal.gif,0.24216792563600137
subject01_centerlight.gif,subject10_rightlight.gif,0.23463549021028082
